Baseline Score,Baseline Test,Converted to TIMSS/PIRLS Scale,Converted to LLECE Scale,Converted to PASEC Scale
260,TIMSS,,511,285
261,TIMSS,,513,288
262,TIMSS,,514,291
263,TIMSS,,515,294
264,TIMSS,,517,297
265,TIMSS,,518,299
266,TIMSS,,520,302
267,TIMSS,,521,304
268,TIMSS,,524,307
269,TIMSS,,526,309
270,TIMSS,,528,312
271,TIMSS,,529,314
272,TIMSS,,531,316
273,TIMSS,,533,318
274,TIMSS,,534,319
275,TIMSS,,536,321
276,TIMSS,,538,322
277,TIMSS,,539,324
278,TIMSS,,540,325
279,TIMSS,,541,326
280,TIMSS,,543,327
281,TIMSS,,544,329
282,TIMSS,,545,330
283,TIMSS,,547,331
284,TIMSS,,548,333
285,TIMSS,,549,334
286,TIMSS,,551,335
287,TIMSS,,552,337
288,TIMSS,,554,339
289,TIMSS,,555,340
290,TIMSS,,557,342
291,TIMSS,,559,343
292,TIMSS,,560,344
293,TIMSS,,562,346
294,TIMSS,,563,347
295,TIMSS,,565,349
296,TIMSS,,566,350
297,TIMSS,,568,351
298,TIMSS,,569,353
299,TIMSS,,570,354
300,TIMSS,,572,356
301,TIMSS,,573,357
302,TIMSS,,575,359
303,TIMSS,,576,360
304,TIMSS,,577,362
305,TIMSS,,579,363
306,TIMSS,,580,365
307,TIMSS,,582,366
308,TIMSS,,583,367
309,TIMSS,,584,369
310,TIMSS,,586,370
311,TIMSS,,587,372
312,TIMSS,,589,373
313,TIMSS,,590,375
314,TIMSS,,591,376
315,TIMSS,,593,378
316,TIMSS,,594,379
317,TIMSS,,596,381
318,TIMSS,,597,382
319,TIMSS,,599,383
320,TIMSS,,600,385
321,TIMSS,,601,386
322,TIMSS,,603,388
323,TIMSS,,604,389
324,TIMSS,,606,390
325,TIMSS,,607,391
326,TIMSS,,608,392
327,TIMSS,,609,393
328,TIMSS,,610,394
329,TIMSS,,611,395
330,TIMSS,,613,396
331,TIMSS,,614,397
332,TIMSS,,615,398
333,TIMSS,,617,399
334,TIMSS,,618,401
335,TIMSS,,619,402
336,TIMSS,,621,403
337,TIMSS,,622,405
338,TIMSS,,624,406
339,TIMSS,,625,408
340,TIMSS,,627,409
341,TIMSS,,628,411
342,TIMSS,,630,412
343,TIMSS,,631,413
344,TIMSS,,633,415
345,TIMSS,,634,416
346,TIMSS,,635,417
347,TIMSS,,637,418
348,TIMSS,,638,419
349,TIMSS,,639,420
350,TIMSS,,641,422
351,TIMSS,,642,423
352,TIMSS,,643,424
353,TIMSS,,645,425
354,TIMSS,,646,427
355,TIMSS,,647,428
356,TIMSS,,649,429
357,TIMSS,,650,430
358,TIMSS,,651,431
359,TIMSS,,652,432
360,TIMSS,,654,433
361,TIMSS,,655,434
362,TIMSS,,656,436
363,TIMSS,,657,437
364,TIMSS,,658,438
365,TIMSS,,660,439
366,TIMSS,,661,440
367,TIMSS,,662,441
368,TIMSS,,663,442
369,TIMSS,,664,443
370,TIMSS,,665,444
371,TIMSS,,666,445
372,TIMSS,,667,447
373,TIMSS,,669,448
374,TIMSS,,670,449
375,TIMSS,,671,450
376,TIMSS,,672,451
377,TIMSS,,673,452
378,TIMSS,,675,453
379,TIMSS,,676,455
380,TIMSS,,677,456
381,TIMSS,,678,457
382,TIMSS,,680,459
383,TIMSS,,681,460
384,TIMSS,,682,461
385,TIMSS,,684,463
386,TIMSS,,685,464
387,TIMSS,,687,465
388,TIMSS,,688,467
389,TIMSS,,689,468
390,TIMSS,,691,469
391,TIMSS,,692,471
392,TIMSS,,694,472
393,TIMSS,,695,474
394,TIMSS,,697,475
395,TIMSS,,698,477
396,TIMSS,,700,478
397,TIMSS,,701,479
398,TIMSS,,702,481
399,TIMSS,,704,482
400,TIMSS,,705,483
401,TIMSS,,707,485
402,TIMSS,,708,486
403,TIMSS,,709,487
404,TIMSS,,711,489
405,TIMSS,,712,490
406,TIMSS,,714,492
407,TIMSS,,715,493
408,TIMSS,,716,494
409,TIMSS,,718,496
410,TIMSS,,719,497
411,TIMSS,,720,498
412,TIMSS,,722,500
413,TIMSS,,723,501
414,TIMSS,,724,502
415,TIMSS,,726,503
416,TIMSS,,727,505
417,TIMSS,,728,506
418,TIMSS,,729,507
419,TIMSS,,731,508
420,TIMSS,,732,510
421,TIMSS,,733,511
422,TIMSS,,734,512
423,TIMSS,,736,513
424,TIMSS,,737,514
425,TIMSS,,738,516
426,TIMSS,,740,517
427,TIMSS,,741,518
428,TIMSS,,742,519
429,TIMSS,,743,521
430,TIMSS,,745,522
431,TIMSS,,746,523
432,TIMSS,,747,524
433,TIMSS,,749,526
434,TIMSS,,750,527
435,TIMSS,,751,528
436,TIMSS,,753,530
437,TIMSS,,754,531
438,TIMSS,,755,532
439,TIMSS,,757,534
440,TIMSS,,758,535
441,TIMSS,,759,536
442,TIMSS,,761,538
443,TIMSS,,762,539
444,TIMSS,,764,540
445,TIMSS,,765,542
446,TIMSS,,766,543
447,TIMSS,,768,544
448,TIMSS,,769,546
449,TIMSS,,770,547
450,TIMSS,,771,548
451,TIMSS,,773,550
452,TIMSS,,774,551
453,TIMSS,,775,552
454,TIMSS,,776,553
455,TIMSS,,778,555
456,TIMSS,,779,556
457,TIMSS,,780,557
458,TIMSS,,781,558
459,TIMSS,,783,560
460,TIMSS,,784,561
461,TIMSS,,785,562
